"Freq [GHz]","o [mm]","w [mm]","mag(S(2:1,1)) []","mag(S(2:2,1)) []","mag(S(2:2,2:1)) []","ang_rad(S(2:1,2:1)) [rad]","ang_rad(S(2:2,2:2)) [rad]","partialMagS(2:1,1,w) []","partialMagS(2:2,1,w) []","partialMagS(2:2,2:1,w) []","partialMagS(2:1,1,o) []","partialMagS(2:2,1,o) []","partialMagS(2:2,2:1,o) []","ang_rad(S(1,1)) [rad]","partialPhaseS(1,1,w) []"
10,1.21428571428571,8.57142857142857,0.240932393237879,0.0374960972387868,0.0450889473540688,2.84393578610733,3.12587598745378,0.0837545522701444,0.0126779702073139,0.0121180836808294,-0.00183753100162081,0.030464101642555,0.0362885841131113,2.72572954556316,-0.11772422068169
10,1.21428571428571,8.85714285714286,0.265655357165806,0.0411126607762802,0.048400663547768,2.81849280187276,3.12420123671604,0.0883393209035646,0.0133217317062828,0.0125793352398605,-0.00212317570304437,0.0334837467527636,0.0391336582341438,2.69089730569647,-0.123942414257611
10,1.21428571428571,9.14285714285714,0.291773747884146,0.0450620678772795,0.0521428493320854,2.7919070895135,3.12230935124758,0.0926842240250144,0.013943577662002,0.0130175004026421,-0.00228716516647359,0.0367508471438181,0.0421854324294454,2.65384704611128,-0.129898066445648
10,1.21428571428571,9.42857142857143,0.318927070502637,0.0493234116223274,0.0562414067260362,2.763752682355,3.12018326195861,0.0971765739529284,0.0145002407965003,0.0133474075437874,-0.00248681942314374,0.0400414815120504,0.0452382180182593,2.61610695728016,-0.136405926765668
10,1.21428571428571,9.71428571428571,0.348043384073475,0.0534718122547392,0.0599227299486443,2.7335650307366,3.11802337562129,0.100979675320493,0.0149978467574325,0.0136320278796295,-0.00291690459401572,0.0435544282950773,0.0484628100624142,2.57523786316864,-0.142217858555277
10,1.21428571428571,10,0.377337085438843,0.0578734696404826,0.0639764027584727,2.70343989737384,3.11571244626939,0.103883886679219,0.0153524708181664,0.0138134022809847,-0.0031900570507706,0.0470847855673151,0.051628085688571,2.53366101278382,-0.147192961912179
10,1.42857142857143,8,0.194701381830443,0.0356952125977582,0.0446898263031724,2.8924510545518,3.12700188902448,0.0737246172504202,0.0132518556885964,0.0129874440245307,-0.0017660816562982,0.0246023755657827,0.0304306195153035,2.79146228521827,-0.105608074289037
10,1.42857142857143,8.28571428571429,0.217017406690684,0.0397489321846242,0.0486852212060896,2.86934058612462,3.12525397004195,0.0787927389559084,0.014104791929561,0.013672990102978,-0.00195429115837836,0.0273650656510387,0.0330906903500432,2.75894266766354,-0.111672310290398
10,1.42857142857143,8.57142857142857,0.240572949024795,0.0440219228624952,0.0529040980669614,2.84473862748366,3.12335447260471,0.0837205236881233,0.01490086483878,0.0141745408181245,-0.00217907952723212,0.0302548695200147,0.0358646513712464,2.72581320989765,-0.118241613495656
10,1.42857142857143,8.85714285714286,0.264992651030519,0.0482595639778471,0.0568065057498825,2.81989764314942,3.12157244264998,0.0879996317475011,0.0156509603599811,0.0147514740289219,-0.00226882604880331,0.033337852013013,0.0388028198413702,2.69119851116577,-0.123662911669863
10,1.42857142857143,9.14285714285714,0.290647261927474,0.0527617754465397,0.0610339433481434,2.79298013218665,3.11950009225348,0.092738304059879,0.0164001569576841,0.0152467747200524,-0.00275534745351967,0.0363599021500677,0.041613403069536,2.65567095034389,-0.130477875470348
10,1.42857142857143,9.42857142857143,0.318416966820334,0.0577303006391315,0.0656685429979231,2.76522315040321,3.11728063010761,0.0964885947687176,0.0170386420128497,0.0156840525498714,-0.00317666292582275,0.0397550405615815,0.0446528638884489,2.61569042530705,-0.135857556052583
10,1.42857142857143,9.71428571428571,0.34689900930269,0.0626810872589507,0.0701669682523096,2.73584783904901,3.11500642923062,0.10064415052555,0.0175877949143515,0.0160171493479335,-0.00337079665076331,0.0431465895255664,0.0477336885453772,2.57589694646905,-0.141938182376268
10,1.42857142857143,10,0.376840785430436,0.0679534475216369,0.075069166857383,2.70437686857562,3.11234327827042,0.103794078996765,0.0181144913167772,0.0163079963913401,-0.00375115758653726,0.0467264832900974,0.0510013567077884,2.5338103918258,-0.14747615178767
